Run,TrialNumber,Tgt1,Tgt2,Tgt3,Tgt4,TrialDiscardIndex,EEGFileNumber,Comments,TgtID,TrialStartIndex,TrialEndIndex,AccStartIndex,AccDetectionFlag,TRIGSTARTDetectionFlag,TRIGENDDetectionFlag
1,1,1,0,0,0,0,0005,[],1,2558,5423,2769,0,1,0
1,2,0,0,1,0,0,0005,[],3,7199,10205,7505,0,0,0
1,3,0,1,0,0,0,0005,[],2,11980,14990,12238,0,1,0
1,4,0,0,0,1,0,0005,[],4,16752,19759,16904,0,1,0
1,5,0,0,1,0,0,0005,May be mistake in this area.,3,21527,24533,21748,0,1,0
1,6,1,0,0,0,0,0005,[],1,26290,29301,26556,0,1,0
1,7,0,1,0,0,0,0005,[],2,31062,34068,31288,0,1,0
1,8,0,0,0,1,0,0005,[],4,35842,38845,36074,1,1,0
1,9,0,0,1,0,0,0005,[],3,40607,43604,40845,0,1,0
1,10,1,0,0,0,0,0005,[],1,45375,48379,45752,1,1,0
1,11,0,1,0,0,0,0005,[],2,50146,53151,50348,0,1,0
1,12,0,0,0,1,0,0005,[],4,54914,57922,55200,0,1,1
1,13,0,0,1,0,0,0005,[],3,59688,62694,60048,0,1,0
1,14,1,0,0,0,0,0005,[],1,64456,67458,64755,0,1,0
1,15,0,1,0,0,0,0005,[],2,69225,72230,69522,0,1,0
1,16,0,0,0,1,0,0005,[],4,73996,77001,74313,0,0,0
1,17,0,0,1,0,0,0005,[],3,78772,81773,79084,0,1,0
1,18,0,1,0,0,0,0005,[],2,83539,86544,83729,1,0,0
1,19,1,0,0,0,0,0005,[],1,88307,91311,88664,0,1,0
1,20,0,0,0,1,0,0005,[],4,93078,96084,93329,0,1,0
1,21,0,0,1,0,0,0005,[],3,97844,100853,98122,0,1,0
1,22,0,1,0,0,0,0005,[],2,102620,105627,102894,0,1,0
1,23,1,0,0,0,0,0005,[],1,107387,110403,107624,0,1,0
1,24,0,0,1,0,0,0005,[],3,112156,115167,112417,0,0,0
1,25,0,0,0,1,0,0005,[],4,116929,119932,117123,1,1,0
1,26,0,1,0,0,0,0005,[],2,121705,124712,121984,0,1,0
1,27,0,1,0,0,0,0005,[],2,126467,129476,126776,0,1,0
1,28,1,0,0,0,0,0005,[],1,131240,134244,131495,1,1,0
1,29,0,0,1,0,0,0005,[],3,136010,139021,136262,1,1,0
1,30,0,0,0,1,0,0005,[],4,140782,143787,141063,1,1,0
2,1,0,0,0,1,0,0007,[],4,1685,4674,1956,0,1,0
2,2,1,0,0,0,0,0007,[],1,6452,9466,6734,0,1,0
2,3,0,1,0,0,0,0007,[],2,11230,14240,11459,0,1,0
2,4,0,0,1,0,0,0007,[],3,16007.000000000002,19005,16364,0,1,0
2,5,0,0,0,1,0,0007,[],4,20774,23774,21158,0,1,0
2,6,1,0,0,0,0,0007,[],1,25540,28549,25773,1,1,0
2,7,0,1,0,0,0,0007,[],2,30319,33323,30651,1,1,0
2,8,0,0,1,0,0,0007,[],3,35080,38092,35393,0,1,0
2,9,0,0,1,0,0,0007,[],3,39857,42858,40184,1,1,0
2,10,1,0,0,0,0,0007,[],1,44626,47625,44868,0,1,0
2,11,0,1,0,0,0,0007,[],2,49396,52406,49795,0,1,0
2,12,0,0,0,1,0,0007,[],4,54166,57173,54546,0,1,0
2,13,0,0,1,0,0,0007,[],3,58944,61949,59237,0,1,0
2,14,0,1,0,0,0,0007,[],2,63711,66716,63965,1,1,0
2,15,1,0,0,0,0,0007,[],1,68487,71482,68756,1,1,0
2,16,1,0,0,0,0,0007,[],1,73257,76264,73604,0,1,0
2,17,0,1,0,0,0,0007,[],2,78032,81028,78371,1,1,0
2,18,0,0,0,1,0,0007,[],4,82803,85803,83045,1,1,0
2,19,0,0,1,0,0,0007,[],3,87571,90573,87934,1,1,0
2,20,1,0,0,0,0,0007,[],1,92335,95344,92565,0,1,0
2,21,0,0,1,0,0,0007,[],3,97102,100111,97341,0,1,0
2,22,0,0,0,1,0,0007,[],4,101875,104886,102070,0,1,0
2,23,1,0,0,0,0,0007,[],1,106651,109668,106938,1,1,0
2,24,0,1,0,0,0,0007,[],2,111425,114434,111683,0,1,0
2,25,0,0,0,1,0,0007,[],4,116195,119205,116510,0,1,0
2,26,1,0,0,0,0,0007,[],1,120963,123969,121237,0,1,0
2,27,0,0,1,0,0,0007,[],3,125736,128745,126032,0,1,0
2,28,0,0,0,1,0,0007,[],4,130511,133514,130796,0,1,0
2,29,0,1,0,0,0,0007,[],2,135281,138284,135548,1,1,0
2,30,0,1,0,0,0,0007,[],2,140054,143055,140439,0,1,0
3,1,1,0,0,0,0,0009,[],1,2547,5446,2786,0,1,0
3,2,0,0,0,1,0,0009,[],4,7213,10224,7519,0,1,0
3,3,0,1,0,0,0,0009,[],2,11996,15002,12215,0,1,0
3,4,0,0,1,0,0,0009,[],3,16770,19770,17158,0,1,0
3,5,0,1,0,0,0,0009,[],2,21539,24548,21804,1,1,0
3,6,0,1,0,0,0,0009,[],2,26307,29312,26654,1,1,0
3,7,1,0,0,0,0,0009,[],1,31073,34079,31342,0,1,0
3,8,1,0,0,0,0,0009,[],1,35850,38853,36191,0,1,0
3,9,0,0,0,1,0,0009,[],4,40619,43629,40920,0,1,0
3,10,0,0,1,0,0,0009,[],3,45395,48393,45655,1,1,0
3,11,0,1,0,0,0,0009,[],2,50154,53168,50440,0,1,0
3,12,1,0,0,0,0,0009,[],1,54940,57940,55218,0,1,0
3,13,1,0,0,0,0,0009,[],1,59706,62708,59998,1,1,0
3,14,0,0,1,0,0,0009,[],3,64480.00000000001,67490,64681,1,1,0
3,15,0,0,0,1,0,0009,[],4,69248,72251,69576,0,1,0
3,16,0,1,0,0,0,0009,[],2,74016,77019,74287,0,1,0
3,17,0,1,0,0,0,0009,[],2,78789,81790,79110,0,1,0
3,18,0,0,1,0,0,0009,[],3,83555,86559,83869,1,1,0
3,19,0,0,1,0,0,0009,[],3,88332,91334,88654,0,1,0
3,20,0,0,0,1,0,0009,[],4,93102,96105,93271,0,1,0
3,21,0,1,0,0,0,0009,[],2,97871,100878,98100,0,1,0
3,22,0,1,0,0,0,0009,[],2,102637,105646,102922,0,1,0
3,23,0,0,1,0,0,0009,[],3,107413,110416,107727,0,1,0
3,24,1,0,0,0,0,0009,[],1,112182,115194,112296,0,1,0
3,25,0,1,0,0,0,0009,[],2,116955,119958,117207,0,1,0
3,26,0,0,0,1,0,0009,[],4,121729,124728,121922,0,1,0
3,27,1,0,0,0,1,0009,"It was a last sip of the water, so discard.",1,126496,129499,,0,1,0
3,28,0,0,1,0,1,0009,"It was a last sip of the water, so discard.",3,131274,134269,,0,1,0
3,29,0,1,0,0,0,0009,[],2,136043,139055,136217,1,1,0
3,30,0,0,0,1,0,0009,[],4,140817,143818,141060,1,1,0
,,21,26,21,20,2,[],[],,,,,,,
